"","intensityThreshold","orgBudget","repairRatio","extremeWeatherDamage","adaptThreshold","maxPrevention","param_set_id","mean_infra","org_repair_budget","org_vulnerability","repair_cost","extreme_weather_frequency","prevention","damage","run_id","run_duration"
"151",0,200,0.4,6,1,0,51,2.66666666666667,29.2,0.955650469733157,4025,100,0,6,2,0.909420967102051
"152",0,200,0.4,6,1,0,51,2.66666666666667,30,0.963866884636599,4026,100,0,6,3,0.914432048797607
"153",0,200,0.4,6,1,0,51,2.67901234567901,29.2,0.963857153822083,3623,100,0,6,1,0.944514989852905
"154",0,300,0.4,6,1,0,52,3.66666666666667,43.6,0.934779283438287,3962,100,0,6,1,0.954537868499756
"155",0,300,0.4,6,1,0,52,3.66666666666667,43.6,0.940952008897167,3655,100,0,6,2,0.940505027770996
"156",0,300,0.4,6,1,0,52,3.62962962962963,44,0.941069912000145,3991,100,0,6,3,0.930474042892456
"157",0,400,0.4,6,1,0,53,5.06172839506173,58,0.92788905648101,3970,100,0,6,2,0.915436029434204
"158",0,400,0.4,6,1,0,53,4.80246913580247,58.4,0.928279405572169,3886,100,0,6,3,0.939501047134399
"159",0,400,0.4,6,1,0,53,4.83950617283951,58,0.928201420456003,3943,100,0,6,1,0.939502954483032
"160",0,500,0.4,6,1,0,54,5.50617283950617,72.4,0.908167986282384,3837,100,0,6,1,0.930474042892456
"161",0,500,0.4,6,1,0,54,5.74074074074074,72.4,0.89668398394812,3584,100,0,6,2,0.966572046279907
"162",0,500,0.4,6,1,0,54,5.8641975308642,72.4,0.904955859348428,3595,100,0,6,3,0.955543994903564
"163",0,0,0.6,6,1,0,55,1,0,1,4154,100,0,6,1,0.698858976364136
"164",0,0,0.6,6,1,0,55,1,0,1,4234,100,0,6,2,0.659754991531372
"165",0,0,0.6,6,1,0,55,1,0,1,3706,100,0,6,3,0.650734186172485
"166",0,100,0.6,6,1,0,56,1.92592592592593,10.2,0.955730046155578,3890,100,0,6,3,0.679805994033813
"167",0,100,0.6,6,1,0,56,1.90123456790123,10.2,0.965068715477212,3306,100,0,6,2,0.672793865203857
"168",0,100,0.6,6,1,0,56,1.91358024691358,10.2,0.965104505089885,4167,100,0,6,1,0.66376781463623
"169",0,200,0.6,6,1,0,57,3,19.8,0.935470555036265,3985,100,0,6,2,0.701866149902344
"170",0,200,0.6,6,1,0,57,3.02469135802469,19.8,0.94167814334253,3778,100,0,6,1,0.694846868515015
"171",0,200,0.6,6,1,0,57,3.04938271604938,19.8,0.941472382025658,3236,100,0,6,3,0.659756183624268
"172",0,300,0.6,6,1,0,58,4.25925925925926,29.4,0.940008707904859,3725,100,0,6,3,0.716908931732178
"173",0,300,0.6,6,1,0,58,4.23456790123457,29.4,0.940209579519276,3419,100,0,6,2,0.712894916534424
"174",0,300,0.6,6,1,0,58,4.25925925925926,29.4,0.940007873915473,4231,100,0,6,1,1.0828800201416
"175",0,400,0.6,6,1,0,59,5.65432098765432,39,0.89875899873872,3447,100,0,6,2,1.07385897636414
"176",0,400,0.6,6,1,0,59,5.48148148148148,39,0.899075728654945,3283,100,0,6,3,0.956544876098633
"177",0,400,0.6,6,1,0,59,5.51851851851852,39.6,0.89690457546208,3167,100,0,6,1,1.0598201751709
"178",0,500,0.6,6,1,0,60,6.40740740740741,48.6,0.872660900323666,3437,100,0,6,2,0.921308994293213
"179",0,500,0.6,6,1,0,60,6.62962962962963,48.6,0.869206924972145,3654,100,0,6,3,0.664255142211914
"180",0,500,0.6,6,1,0,60,6.5679012345679,48.6,0.882088780825812,3577,100,0,6,1,0.756609916687012
"181",0,0,0.8,6,1,0,61,1,0,1,3933,100,0,6,3,0.687848091125488
"182",0,0,0.8,6,1,0,61,1,0,1,3843,100,0,6,2,0.790885925292969
"183",0,0,0.8,6,1,0,61,1,0,1,4092,100,0,6,1,0.728924989700317
"184",0,100,0.8,6,1,0,62,1.92592592592593,4,0.968805663042811,3673,100,0,6,3,0.833045959472656
"185",0,100,0.8,6,1,0,62,1.93827160493827,4,0.962464147649333,3883,100,0,6,2,0.71494197845459
"186",0,100,0.8,6,1,0,62,1.93827160493827,4,0.967364618406285,4019,100,0,6,1,0.712859153747559
"187",0,200,0.8,6,1,0,63,3.20987654320988,8,0.941525544232167,3683,100,0,6,2,0.738240957260132
"188",0,200,0.8,6,1,0,63,3.16049382716049,7.2,0.946252939447384,3432,100,0,6,3,0.740668058395386
"189",0,200,0.8,6,1,0,63,3.23456790123457,7.2,0.941542714337521,4062,100,0,6,1,0.806993007659912
