"BehaviorSpace results (NetLogo 6.0.2)"
"EW draft 1.nlogo"
"experiment1"
"04/04/2018 19:57:52:203 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","numMonths","adaptThreshold","adaptCostPerUnit","intensityThreshold","damageRatioThreshold","repairRatio","choose-strategy","interval","maxMemoryLength","changeRepairRatio?","maxPrevention","orgBudget","ExtremeWeatherDamage","cumDamageRatioThreshold","[step]","mean [infraQuality] of serviceArea","mean [infraVulnerability] of serviceArea","mean [currentDamage] of serviceArea","extremeWeatherFreq","mean [prevention] of serviceArea"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","21","44.79012345679013","0.08784412594184973","0","7","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","28","49.925925925925924","0.06135906357170683","0","6","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","37","53.41975308641975","0.032756978949419605","0","10","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","22","44.79012345679013","0.08784412594184975","0","8","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","16","43.49382716049383","0.06404772882996333","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","38","53.41975308641975","0.03275697894941962","0","11","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","29","49.925925925925924","0.06135906357170686","0","7","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","19","47.901234567901234","0.09740712993218864","0","2","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","23","44.79012345679013","0.08784412594184976","0","8","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","15","49.75308641975309","0.0464167517100173","0","1","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","39","53.41975308641975","0.032756978949419605","0","12","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","13","40.72839506172839","0.18113964045733713","2.037037037037037","6","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","30","49.925925925925924","0.06135906357170685","0","8","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","40","53.41975308641975","0.032756978949419605","0","12","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","17","43.49382716049383","0.06404772882996337","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","41","53.41975308641975","0.032756978949419605","0","12","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","24","44.79012345679013","0.08784412594184973","0","9","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","16","49.75308641975309","0.04641675171001733","0","2","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","42","53.41975308641975","0.03275697894941961","0","12","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","31","49.925925925925924","0.061359063571706826","0","8","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","43","53.41975308641975","0.03275697894941961","0","12","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","32","49.925925925925924","0.06135906357170683","0","9","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","44","53.41975308641975","0.03275697894941961","0","12","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","33","49.925925925925924","0.06135906357170683","0","9","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","45","53.41975308641975","0.03275697894941961","0","12","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","20","45.98765432098765","0.10937679164205696","2.0617283950617282","3","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","34","49.925925925925924","0.06135906357170685","0","9","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","14","40.72839506172839","0.1811396404573372","0","6","0"
